2025-11-22 21:54:08.166 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - Starting HgqWebManagementApplication using Java 17.0.13 with PID 1464 (D:\javaweb-code\web-ai-project02-dept-test\hgq-web-management\target\classes started by 30137 in D:\javaweb-code\web-ai-project02-dept-test)
2025-11-22 21:54:08.168 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-22 21:54:09.398 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-22 21:54:09.412 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-22 21:54:09.494 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1287 ms
2025-11-22 21:54:10.628 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-22 21:54:10.650 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-22 21:54:10.657 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - Started HgqWebManagementApplication in 3.001 seconds (process running for 4.272)
2025-11-22 21:54:13.678 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-22 21:54:13.850 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-22 21:54:18.188 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - Starting HgqWebManagementApplication using Java 17.0.13 with PID 6796 (D:\javaweb-code\web-ai-project02-dept-test\hgq-web-management\target\classes started by 30137 in D:\javaweb-code\web-ai-project02-dept-test)
2025-11-22 21:54:18.191 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-22 21:54:19.248 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-22 21:54:19.263 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-22 21:54:19.358 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1114 ms
2025-11-22 21:54:20.383 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-22 21:54:20.410 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-22 21:54:20.422 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - Started HgqWebManagementApplication in 2.677 seconds (process running for 4.489)
2025-11-22 21:56:06.422 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-22 21:56:06.424 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-11-22 21:56:06.493 [http-nio-8080-exec-2] INFO  com.hgnuhgq.controller.ReportController - ReportController.getEmpJobData()
2025-11-22 21:56:20.526 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-11-22 21:56:20.744 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4d90d113
2025-11-22 21:56:20.746 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-11-22 22:02:14.021 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-22 22:02:14.296 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-22 22:02:14.302 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-11-22 22:02:14.317 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-11-22 22:12:46.822 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - Starting HgqWebManagementApplication using Java 17.0.13 with PID 28844 (D:\javaweb-code\web-ai-project02-dept-test\hgq-web-management\target\classes started by 30137 in D:\javaweb-code\web-ai-project02-dept-test)
2025-11-22 22:12:46.824 [main] INFO  com.hgnuhgq.HgqWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-22 22:12:47.768 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-22 22:12:47.796 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
